"Geo Code","Geo Name","Line Number"
"2021A000011124","Canada",2
"2021A000259","British Columbia",2633
"2021A00035901","East Kootenay",5264
"2021A00055901003","Elkford",7895
"2021S051259010237","59010237",10526
"2021S051259010238","59010238",13157
"2021S051259010239","59010239",15788
"2021S051259010240","59010240",18419
"2021S051259010241","59010241",21050
"2021S051259010242","59010242",23681
"2021S051259010249","59010249",26312
"2021A00055901006","Sparwood",28943
"2021S051259010216","59010216",31574
"2021S051259010228","59010228",34205
"2021S051259010229","59010229",36836
"2021S051259010230","59010230",39467
"2021S051259010231","59010231",42098
"2021S051259010232","59010232",44729
"2021S051259010233","59010233",47360
"2021S051259010234","59010234",49991
"2021S051259010236","59010236",52622
"2021S051259010247","59010247",55253
"2021A00055901012","Fernie",57884
"2021S051259010217","59010217",60515
"2021S051259010218","59010218",63146
"2021S051259010219","59010219",65777
"2021S051259010220","59010220",68408
"2021S051259010221","59010221",71039
"2021S051259010222","59010222",73670
"2021S051259010223","59010223",76301
"2021S051259010226","59010226",78932
"2021S051259010258","59010258",81563
"2021A00055901017","East Kootenay A",84194
"2021S051259010227","59010227",86825
"2021S051259010248","59010248",89456
"2021S051259010254","59010254",92087
"2021S051259010256","59010256",94718
"2021A00055901019","East Kootenay B",97349
"2021S051259010210","59010210",99980
"2021S051259010211","59010211",102611
"2021S051259010212","59010212",105242
"2021S051259010213","59010213",107873
"2021A00055901022","Cranbrook",110504
"2021S051259010147","59010147",113135
"2021S051259010166","59010166",115766
"2021S051259010167","59010167",118397
"2021S051259010168","59010168",121028
"2021S051259010169","59010169",123659
"2021S051259010170","59010170",126290
"2021S051259010171","59010171",128921
"2021S051259010172","59010172",131552
"2021S051259010173","59010173",134183
"2021S051259010174","59010174",136814
"2021S051259010175","59010175",139445
"2021S051259010176","59010176",142076
"2021S051259010177","59010177",144707
"2021S051259010178","59010178",147338
"2021S051259010179","59010179",149969
"2021S051259010180","59010180",152600
"2021S051259010181","59010181",155231
"2021S051259010183","59010183",157862
"2021S051259010184","59010184",160493
"2021S051259010185","59010185",163124
"2021S051259010186","59010186",165755
"2021S051259010187","59010187",168386
"2021S051259010188","59010188",171017
"2021S051259010189","59010189",173648
"2021S051259010190","59010190",176279
"2021S051259010191","59010191",178910
"2021S051259010192","59010192",181541
"2021S051259010193","59010193",184172
"2021S051259010194","59010194",186803
"2021S051259010195","59010195",189434
"2021S051259010196","59010196",192065
"2021S051259010197","59010197",194696
"2021S051259010198","59010198",197327
"2021S051259010199","59010199",199958
"2021S051259010200","59010200",202589
"2021S051259010202","59010202",205220
"2021S051259010207","59010207",207851
"2021S051259010245","59010245",210482
"2021A00055901028","Kimberley",213113
"2021S051259010150","59010150",215744
"2021S051259010151","59010151",218375
"2021S051259010152","59010152",221006
"2021S051259010153","59010153",223637
"2021S051259010154","59010154",226268
"2021S051259010155","59010155",228899
"2021S051259010156","59010156",231530
"2021S051259010157","59010157",234161
"2021S051259010158","59010158",236792
"2021S051259010159","59010159",239423
"2021S051259010160","59010160",242054
"2021S051259010161","59010161",244685
"2021S051259010162","59010162",247316
"2021A00055901035","East Kootenay C",249947
"2021S051259010143","59010143",252578
"2021S051259010145","59010145",255209
"2021S051259010164","59010164",257840
"2021S051259010165","59010165",260471
"2021S051259010204","59010204",263102
"2021S051259010205","59010205",265733
"2021S051259010206","59010206",268364
"2021S051259010208","59010208",270995
"2021S051259010209","59010209",273626
"2021S051259010244","59010244",276257
"2021S051259010260","59010260",278888
"2021A00055901037","East Kootenay E",281519
"2021S051259010141","59010141",284150
"2021S051259010142","59010142",286781
"2021S051259010149","59010149",289412
"2021S051259010163","59010163",292043
"2021A00055901039","Invermere",294674
"2021S051259010128","59010128",297305
"2021S051259010129","59010129",299936
"2021S051259010130","59010130",302567
"2021S051259010131","59010131",305198
"2021S051259010132","59010132",307829
"2021S051259010133","59010133",310460
"2021A00055901040","Radium Hot Springs",313091
"2021S051259010126","59010126",315722
"2021A00055901043","Canal Flats",318353
"2021S051259010139","59010139",320984
"2021A00055901046","East Kootenay F",323615
"2021S051259010135","59010135",326246
"2021S051259010137","59010137",328877
"2021S051259010140","59010140",331508
"2021S051259010269","59010269",334139
"2021S051259010270","59010270",336770
