dguid,alt_geo_code,geo_level,geo_name_full,geo_name,geo_kind,characteristic,population
2021A000011124,01,Country,Canada,Canada,,"Population, 2021",36991981
2021A000259,59,Province,British Columbia,British Columbia,,"Population, 2021",5000879
2021A00035901,5901,Census division,"East Kootenay, Regional district (RD)",East Kootenay,Regional district (RD),"Population, 2021",65896
2021A00055901003,5901003,Census subdivision,"Elkford, District municipality (DM)",Elkford,District municipality (DM),"Population, 2021",2749
2021S051259010237,59010237,Dissemination area,59010237,59010237,,"Population, 2021",0
2021S051259010238,59010238,Dissemination area,59010238,59010238,,"Population, 2021",494
2021S051259010239,59010239,Dissemination area,59010239,59010239,,"Population, 2021",475
2021S051259010240,59010240,Dissemination area,59010240,59010240,,"Population, 2021",399
2021S051259010241,59010241,Dissemination area,59010241,59010241,,"Population, 2021",658
2021S051259010242,59010242,Dissemination area,59010242,59010242,,"Population, 2021",723
2021S051259010249,59010249,Dissemination area,59010249,59010249,,"Population, 2021",0
2021A00055901006,5901006,Census subdivision,"Sparwood, District municipality (DM)",Sparwood,District municipality (DM),"Population, 2021",4148
2021S051259010216,59010216,Dissemination area,59010216,59010216,,"Population, 2021",0
2021S051259010228,59010228,Dissemination area,59010228,59010228,,"Population, 2021",421
2021S051259010229,59010229,Dissemination area,59010229,59010229,,"Population, 2021",566
2021S051259010230,59010230,Dissemination area,59010230,59010230,,"Population, 2021",460
2021S051259010231,59010231,Dissemination area,59010231,59010231,,"Population, 2021",269
2021S051259010232,59010232,Dissemination area,59010232,59010232,,"Population, 2021",840
2021S051259010233,59010233,Dissemination area,59010233,59010233,,"Population, 2021",795
2021S051259010234,59010234,Dissemination area,59010234,59010234,,"Population, 2021",797
2021S051259010236,59010236,Dissemination area,59010236,59010236,,"Population, 2021",0
2021S051259010247,59010247,Dissemination area,59010247,59010247,,"Population, 2021",0
2021A00055901012,5901012,Census subdivision,"Fernie, City (CY)",Fernie,City (CY),"Population, 2021",6320
2021S051259010217,59010217,Dissemination area,59010217,59010217,,"Population, 2021",482
2021S051259010218,59010218,Dissemination area,59010218,59010218,,"Population, 2021",754
2021S051259010219,59010219,Dissemination area,59010219,59010219,,"Population, 2021",499
2021S051259010220,59010220,Dissemination area,59010220,59010220,,"Population, 2021",583
2021S051259010221,59010221,Dissemination area,59010221,59010221,,"Population, 2021",512
2021S051259010222,59010222,Dissemination area,59010222,59010222,,"Population, 2021",586
2021S051259010223,59010223,Dissemination area,59010223,59010223,,"Population, 2021",651
2021S051259010226,59010226,Dissemination area,59010226,59010226,,"Population, 2021",466
2021S051259010258,59010258,Dissemination area,59010258,59010258,,"Population, 2021",1787
2021A00055901017,5901017,Census subdivision,"East Kootenay A, Regional district electoral area (RDA)",East Kootenay A,Regional district electoral area (RDA),"Population, 2021",1875
2021S051259010227,59010227,Dissemination area,59010227,59010227,,"Population, 2021",524
2021S051259010248,59010248,Dissemination area,59010248,59010248,,"Population, 2021",376
2021S051259010254,59010254,Dissemination area,59010254,59010254,,"Population, 2021",614
2021S051259010256,59010256,Dissemination area,59010256,59010256,,"Population, 2021",361
2021A00055901019,5901019,Census subdivision,"East Kootenay B, Regional district electoral area (RDA)",East Kootenay B,Regional district electoral area (RDA),"Population, 2021",2011
2021S051259010210,59010210,Dissemination area,59010210,59010210,,"Population, 2021",421
2021S051259010211,59010211,Dissemination area,59010211,59010211,,"Population, 2021",461
2021S051259010212,59010212,Dissemination area,59010212,59010212,,"Population, 2021",622
2021S051259010213,59010213,Dissemination area,59010213,59010213,,"Population, 2021",507
2021A00055901022,5901022,Census subdivision,"Cranbrook, City (CY)",Cranbrook,City (CY),"Population, 2021",20499
2021S051259010147,59010147,Dissemination area,59010147,59010147,,"Population, 2021",0
2021S051259010166,59010166,Dissemination area,59010166,59010166,,"Population, 2021",429
2021S051259010167,59010167,Dissemination area,59010167,59010167,,"Population, 2021",492
2021S051259010168,59010168,Dissemination area,59010168,59010168,,"Population, 2021",431
2021S051259010169,59010169,Dissemination area,59010169,59010169,,"Population, 2021",676
2021S051259010170,59010170,Dissemination area,59010170,59010170,,"Population, 2021",443
2021S051259010171,59010171,Dissemination area,59010171,59010171,,"Population, 2021",542
2021S051259010172,59010172,Dissemination area,59010172,59010172,,"Population, 2021",420
2021S051259010173,59010173,Dissemination area,59010173,59010173,,"Population, 2021",380
2021S051259010174,59010174,Dissemination area,59010174,59010174,,"Population, 2021",412
2021S051259010175,59010175,Dissemination area,59010175,59010175,,"Population, 2021",434
