3216 geoname rows | 20 cached | 3196 to fetch
  50/3196  ok=50 fail=0
  100/3196  ok=100 fail=0
  150/3196  ok=150 fail=0
  200/3196  ok=200 fail=0
  250/3196  ok=250 fail=0
  300/3196  ok=300 fail=0
  350/3196  ok=350 fail=0
  400/3196  ok=400 fail=0
  450/3196  ok=450 fail=0
  500/3196  ok=500 fail=0
  550/3196  ok=550 fail=0
  600/3196  ok=600 fail=0
  650/3196  ok=650 fail=0
  700/3196  ok=700 fail=0
  750/3196  ok=750 fail=0
  800/3196  ok=800 fail=0
  850/3196  ok=850 fail=0
  900/3196  ok=900 fail=0
  950/3196  ok=950 fail=0
  1000/3196  ok=1000 fail=0
  1050/3196  ok=1050 fail=0
  1100/3196  ok=1100 fail=0
  1150/3196  ok=1150 fail=0
  1200/3196  ok=1200 fail=0
  1250/3196  ok=1250 fail=0
  1300/3196  ok=1300 fail=0
  1350/3196  ok=1350 fail=0
  1400/3196  ok=1400 fail=0
  1450/3196  ok=1450 fail=0
  1500/3196  ok=1500 fail=0
  1550/3196  ok=1550 fail=0
  1600/3196  ok=1600 fail=0
  1650/3196  ok=1650 fail=0
  1700/3196  ok=1700 fail=0
  1750/3196  ok=1750 fail=0
  1800/3196  ok=1800 fail=0
  1850/3196  ok=1850 fail=0
  1900/3196  ok=1900 fail=0
  1950/3196  ok=1950 fail=0
  2000/3196  ok=2000 fail=0
  2050/3196  ok=2050 fail=0
  2100/3196  ok=2100 fail=0
  2150/3196  ok=2150 fail=0
  2200/3196  ok=2200 fail=0
  2250/3196  ok=2250 fail=0
  2300/3196  ok=2300 fail=0
  2350/3196  ok=2350 fail=0
  2400/3196  ok=2400 fail=0
  2450/3196  ok=2450 fail=0
  2500/3196  ok=2500 fail=0
  2550/3196  ok=2550 fail=0
  2600/3196  ok=2600 fail=0
  2650/3196  ok=2650 fail=0
  2700/3196  ok=2700 fail=0
  2750/3196  ok=2750 fail=0
  2800/3196  ok=2800 fail=0
  2850/3196  ok=2850 fail=0
  2900/3196  ok=2900 fail=0
  2950/3196  ok=2950 fail=0
  3000/3196  ok=3000 fail=0
  3050/3196  ok=3050 fail=0
  3100/3196  ok=3100 fail=0
  3150/3196  ok=3150 fail=0
  3196/3196  ok=3196 fail=0
done: ok=3196 fail=0 -> /Users/elliottlee/Library/CloudStorage/OneDrive-ButtonInc/CleanBC/pipeline/data/geoname_points.jsonl
