csd_uid,sgc,name,area_type,year,population
5923008,23008,Port Alberni,CY,2011,17978
5923008,23008,Port Alberni,CY,2012,17882
5923008,23008,Port Alberni,CY,2013,17725
5923008,23008,Port Alberni,CY,2014,17712
5923008,23008,Port Alberni,CY,2015,17950
5923008,23008,Port Alberni,CY,2016,18284
5923008,23008,Port Alberni,CY,2017,18347
5923008,23008,Port Alberni,CY,2018,18523
5923008,23008,Port Alberni,CY,2019,18629
5923008,23008,Port Alberni,CY,2020,18767
5923008,23008,Port Alberni,CY,2021,18938
5923008,23008,Port Alberni,CY,2022,19287
5923008,23008,Port Alberni,CY,2023,19418
5923008,23008,Port Alberni,CY,2024,19526
5923008,23008,Port Alberni,CY,2025,19671
5923025,23025,Tofino,DM,2011,1947
5923025,23025,Tofino,DM,2012,1972
5923025,23025,Tofino,DM,2013,1978
5923025,23025,Tofino,DM,2014,2046
5923025,23025,Tofino,DM,2015,2063
5923025,23025,Tofino,DM,2016,2080
5923025,23025,Tofino,DM,2017,2210
5923025,23025,Tofino,DM,2018,2321
5923025,23025,Tofino,DM,2019,2519
5923025,23025,Tofino,DM,2020,2619
5923025,23025,Tofino,DM,2021,2664
5923025,23025,Tofino,DM,2022,2716
5923025,23025,Tofino,DM,2023,2734
5923025,23025,Tofino,DM,2024,2754
5923025,23025,Tofino,DM,2025,2772
5923019,23019,Ucluelet,DM,2011,1672
5923019,23019,Ucluelet,DM,2012,1642
5923019,23019,Ucluelet,DM,2013,1697
5923019,23019,Ucluelet,DM,2014,1649
5923019,23019,Ucluelet,DM,2015,1701
5923019,23019,Ucluelet,DM,2016,1808
5923019,23019,Ucluelet,DM,2017,1920
5923019,23019,Ucluelet,DM,2018,1881
5923019,23019,Ucluelet,DM,2019,1941
5923019,23019,Ucluelet,DM,2020,2060
5923019,23019,Ucluelet,DM,2021,2179
5923019,23019,Ucluelet,DM,2022,2198
5923019,23019,Ucluelet,DM,2023,2265
5923019,23019,Ucluelet,DM,2024,2372
5923019,23019,Ucluelet,DM,2025,2452
5951022,51022,Burns Lake,VL,2011,2068
5951022,51022,Burns Lake,VL,2012,2028
5951022,51022,Burns Lake,VL,2013,1982
5951022,51022,Burns Lake,VL,2014,1941
5951022,51022,Burns Lake,VL,2015,1888
5951022,51022,Burns Lake,VL,2016,1859
5951022,51022,Burns Lake,VL,2017,1874
5951022,51022,Burns Lake,VL,2018,1908
5951022,51022,Burns Lake,VL,2019,1949
5951022,51022,Burns Lake,VL,2020,1974
5951022,51022,Burns Lake,VL,2021,2004
5951022,51022,Burns Lake,VL,2022,2010
5951022,51022,Burns Lake,VL,2023,2015
5951022,51022,Burns Lake,VL,2024,2013
5951022,51022,Burns Lake,VL,2025,2007
5951013,51013,Fort St. James,DM,2011,1723
5951013,51013,Fort St. James,DM,2012,1702
5951013,51013,Fort St. James,DM,2013,1666
5951013,51013,Fort St. James,DM,2014,1719
5951013,51013,Fort St. James,DM,2015,1702
5951013,51013,Fort St. James,DM,2016,1647
5951013,51013,Fort St. James,DM,2017,1655
5951013,51013,Fort St. James,DM,2018,1653
5951013,51013,Fort St. James,DM,2019,1617
5951013,51013,Fort St. James,DM,2020,1506
5951013,51013,Fort St. James,DM,2021,1437
5951013,51013,Fort St. James,DM,2022,1455
5951013,51013,Fort St. James,DM,2023,1379
5951013,51013,Fort St. James,DM,2024,1470
5951013,51013,Fort St. James,DM,2025,1542
5951009,51009,Fraser Lake,VL,2011,1188
5951009,51009,Fraser Lake,VL,2012,1150
5951009,51009,Fraser Lake,VL,2013,1153
5951009,51009,Fraser Lake,VL,2014,1121
5951009,51009,Fraser Lake,VL,2015,1088
5951009,51009,Fraser Lake,VL,2016,1023
5951009,51009,Fraser Lake,VL,2017,1028
5951009,51009,Fraser Lake,VL,2018,995
5951009,51009,Fraser Lake,VL,2019,970
5951009,51009,Fraser Lake,VL,2020,975
5951009,51009,Fraser Lake,VL,2021,1008
5951009,51009,Fraser Lake,VL,2022,947
5951009,51009,Fraser Lake,VL,2023,981
5951009,51009,Fraser Lake,VL,2024,957
5951009,51009,Fraser Lake,VL,2025,942
5951032,51032,Granisle,VL,2011,301
5951032,51032,Granisle,VL,2012,288
5951032,51032,Granisle,VL,2013,287
5951032,51032,Granisle,VL,2014,306
5951032,51032,Granisle,VL,2015,306
5951032,51032,Granisle,VL,2016,309
