geoname_id,bc_geographic_name,within_municipality
64801,Fontas 1,Northern Rockies Regional Municipality
64802,Fort Nelson 2,Northern Rockies Regional Municipality
64921,Prophet River 4,Northern Rockies Regional Municipality
64815,Burns Lake 18,The Corporation of the Village of Burns Lake
64882,Woyenne 27,The Corporation of the Village of Burns Lake
65359,Fort Rupert 1,District of Port Hardy
65356,Kippase 2,District of Port Hardy
65034,Dragon Lake 3,City of Quesnel
64902,Aitchelitch 9,City of Chilliwack
65566,Joeyaska 2,City of Merritt
65022,Kwawkwawapilt 6,City of Chilliwack
64558,Langley 2,City of Mission
64624,Lukseetsissum 9,District of Kent
64411,Matsqui Main 2,City of Mission
64583,Schelowat 1,City of Chilliwack
64576,Scowlitz 1,District of Kent
65771,Seabird Island,District of Kent
64578,Skwah 4,City of Chilliwack
64580,Skway 5,City of Chilliwack
64611,Squiaala 7,City of Chilliwack
65008,Tseatah 2,District of Kent
64609,Tzeachten 13,City of Chilliwack
64610,Upper Sumas 6,City of Abbotsford
64633,Yakweakwioose 12,City of Chilliwack
65649,Duck Lake 7,City of Kelowna
65652,Priest's Valley 6,The Corporation of the City of Vernon
65743,Switsemalph 3,City of Salmon Arm
65603,Switsemalph 6,City of Salmon Arm
65604,Switsemalph 7,City of Salmon Arm
65191,Tsinstikeptum 9,City of West Kelowna
65591,Ashcroft 4,The Corporation of the Village of Ashcroft
65718,Klahkamich 17,Village of Lytton
65754,Klickkumcheen 18,Village of Lytton
64622,Kowtain 17,District of Squamish
64549,Lillooet 1,District of Lillooet
65764,Nickeyeah 25,Village of Lytton
65765,Papyum 27,Village of Lytton
64621,Seaichem 16,District of Squamish
65763,Skwayaynope 26,Village of Lytton
64617,Stawamus 24,District of Squamish
64623,Waiwakum 14,District of Squamish
64619,Yekwaupsum 18,District of Squamish
65292,Ahahswinis 1,City of Port Alberni
65352,Campbell River 11,City of Campbell River
65350,Comox 1,Town of Comox
65227,Halalt 2,The Corporation of the District of North Cowichan
60160,Homalco 9,City of Campbell River
65206,Nanaimo Town 1,City of Nanaimo
65351,Quinsam 12,City of Campbell River
65236,Squaw-Hay-One 11,The Corporation of the District of North Cowichan
52920,Tzouhalem,The Corporation of the District of North Cowichan
60001,Tin-Wis 11,Corporation of the Village of Tofino
65051,Barnston Island 3,City of Surrey
65003,Burrard Inlet 3,The Corporation of the District of North Vancouver
64598,Capilano 5,District Municipality of West Vancouver
64947,Coquitlam 1,City of Coquitlam
65265,East Saanich 2,The Corporation of the District of Central Saanich
65052,Katzie 1,City of Maple Ridge
64441,Katzie 2,The Corporation of the Township of Langley
64403,McMillan Island 6,City of Maple Ridge
64604,Mission 1,City of North Vancouver
64422,Musqueam 4,City of Delta
65270,New Songhees 1A,Corporation of the Township of Esquimalt
64603,Seymour Creek 2,The Corporation of the District of North Vancouver
65266,South Saanich 1,The Corporation of the District of Central Saanich
23827,Tsawwassen,City of Delta
65323,Union Bay 4,District of North Saanich
64401,Whonnock 1,The Corporation of the Township of Langley
