geoname_id,bc_geographic_name,geoname_type,lat,lon,place_population,cd_uid,district,district_label,basin_district,basin_district_label,basin,basin_label,basin_hub,is_hub,basin_access,place_access,assigned_by,hub_distance_km
752,Abbotsford,City,49.0522222,-122.3291667,160759,5909,fraser-valley,Fraser Valley,fraser-valley,Fraser Valley,abbotsford-mission,Abbotsford & Mission,Abbotsford,TRUE,road,road,hub,0.0
22601,Abbotsford,Community,49.0498079,-122.2845949,160759,5909,fraser-valley,Fraser Valley,fraser-valley,Fraser Valley,abbotsford-mission,Abbotsford & Mission,Abbotsford,FALSE,road,road,nearest,3.3
38229,Mission,District Municipality,49.1591667,-122.2838889,43340,5909,fraser-valley,Fraser Valley,fraser-valley,Fraser Valley,abbotsford-mission,Abbotsford & Mission,Abbotsford,FALSE,road,road,nearest,12.3
38230,Mission,Community,49.1402778,-122.3166667,43340,5909,fraser-valley,Fraser Valley,fraser-valley,Fraser Valley,abbotsford-mission,Abbotsford & Mission,Abbotsford,FALSE,road,road,nearest,9.8
20699,South Poplar,Community,49.0169901,-122.3152338,1152,5909,fraser-valley,Fraser Valley,fraser-valley,Fraser Valley,abbotsford-mission,Abbotsford & Mission,Abbotsford,FALSE,road,road,nearest,4.0
24812,Clearbrook,Community,49.0498073,-122.3345965,798,5909,fraser-valley,Fraser Valley,fraser-valley,Fraser Valley,abbotsford-mission,Abbotsford & Mission,Abbotsford,FALSE,road,road,nearest,0.5
19838,Ridgedale,Community,49.1182731,-122.2469296,787,5909,fraser-valley,Fraser Valley,fraser-valley,Fraser Valley,abbotsford-mission,Abbotsford & Mission,Abbotsford,FALSE,road,road,nearest,9.5
64409,Sahhacum 1,Indian Reserve,49.0831413,-122.2845958,787,5909,fraser-valley,Fraser Valley,fraser-valley,Fraser Valley,abbotsford-mission,Abbotsford & Mission,Abbotsford,FALSE,road,road,nearest,4.7
1452,Alvin,Locality,49.5998059,-122.6346201,781,5909,fraser-valley,Fraser Valley,fraser-valley,Fraser Valley,abbotsford-mission,Abbotsford & Mission,Abbotsford,FALSE,road,road,nearest,64.8
16417,Durieu,Community,49.2166800,-122.2421000,781,5909,fraser-valley,Fraser Valley,fraser-valley,Fraser Valley,abbotsford-mission,Abbotsford & Mission,Abbotsford,FALSE,road,road,nearest,19.4
24272,Miracle Valley,Community,49.2504668,-122.2476152,781,5909,fraser-valley,Fraser Valley,fraser-valley,Fraser Valley,abbotsford-mission,Abbotsford & Mission,Abbotsford,FALSE,road,road,nearest,22.8
