geoname_id,bc_geographic_name,geoname_type,lon,lat,bcgn_name,bcgn_feature_type,da_uid,da_population,da_match,da_distance_m,csd_uid,csd_name,csd_type,csd_population,csd_match,csd_distance_m,name_agrees_with_csd,muni_name,muni_type,muni_population,muni_population_year,muni_population_latest,muni_latest_year,place_population,place_population_basis,place_population_source,place_population_confidence,geo_level,geo_uid,geo_shared_with,parent_geoname_id,parent_name,is_nested,is_primary,note
65700,Alkhili 2,Indian Reserve,-133.6749999999,59.6180555529,Alkhili 2,Indian Reserve-Réserve indienne,59570210,180,contains,0.0,5957022,Stikine Region,Regional district electoral area,424,contains,0.0,no,,,,,,,180,da,"2021 Census, dissemination area",high,da,59570210,3,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
40235,Atlin,Community,-133.7001283004,59.5755736186,Atlin,Community,59570219,219,contains,0.0,5957022,Stikine Region,Regional district electoral area,424,contains,0.0,no,,,,,,,219,da,"2021 Census, dissemination area",high,da,59570219,0,,,FALSE,TRUE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
65701,Atlin-Teslin Indian Cemetery 4,Indian Reserve,-133.6853905808,59.5664511624,Atlin-Teslin Indian Cemetery 4,Indian Reserve-Réserve indienne,59570210,180,contains,0.0,5957022,Stikine Region,Regional district electoral area,424,contains,0.0,no,,,,,,,180,da,"2021 Census, dissemination area",high,da,59570210,3,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
3395,Bennett,Locality,-135.0021193261,59.849769596,Bennett,Locality,59570228,25,contains,0.0,5957022,Stikine Region,Regional district electoral area,424,contains,0.0,no,,,,,,,25,da,"2021 Census, dissemination area",high,da,59570228,43,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
12687,Callison Ranch,Locality,-131.6852680153,58.6331294556,Callison Ranch,Locality,59570228,25,contains,0.0,5957022,Stikine Region,Regional district electoral area,424,contains,0.0,no,,,,,,,25,da,"2021 Census, dissemination area",high,da,59570228,43,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
38501,Engineer,Locality,-134.2466666664,59.4927777754,Engineer,Locality,59570228,25,contains,0.0,5957022,Stikine Region,Regional district electoral area,424,contains,0.0,no,,,,,,,25,da,"2021 Census, dissemination area",high,da,59570228,43,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
65682,Five Mile Point 3,Indian Reserve,-133.6687192909,59.499783351,Five Mile Point 3,Indian Reserve-Réserve indienne,59570209,83,contains,0.0,5957803,Five Mile Point 3,Indian reserve,83,contains,0.0,yes,,,,,,,83,csd,"2021 Census, census subdivision",high,csd,5957803,0,,,FALSE,TRUE,"the geoname names its containing census subdivision, so this is the population of Five Mile Point 3 itself"
19421,Hyland Ranch,Locality,-131.4852358344,58.16645673,Hyland Ranch,Locality,59570228,25,contains,0.0,5957022,Stikine Region,Regional district electoral area,424,contains,0.0,no,,,,,,,25,da,"2021 Census, dissemination area",high,da,59570228,43,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
65677,Jennings River 8,Indian Reserve,-132.1472222226,59.6744444419,Jennings River 8,Indian Reserve-Réserve indienne,59570228,25,contains,0.0,5957022,Stikine Region,Regional district electoral area,424,contains,0.0,no,,,,,,,25,da,"2021 Census, dissemination area",high,da,59570228,43,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
1892,Lindeman,Locality,-135.0854512119,59.7831001617,Lindeman,Locality,59570228,25,contains,0.0,5957022,Stikine Region,Regional district electoral area,424,contains,0.0,no,,,,,,,25,da,"2021 Census, dissemination area",high,da,59570228,43,,,FALSE,FALSE,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
