geoname_id,bc_geographic_name,geoname_type,lon,lat,bcgn_name,bcgn_feature_type,da_uid,da_population,da_match,da_distance_m,csd_uid,csd_name,csd_type,csd_population,csd_match,csd_distance_m,name_agrees_with_csd,muni_name,muni_type,muni_population,muni_population_year,muni_population_latest,muni_latest_year,place_population,place_population_basis,place_population_source,place_population_confidence,geo_level,geo_uid,geo_shared_with,parent_geoname_id,parent_name,is_nested,is_primary,selected_because,note
65682,Five Mile Point 3,Indian Reserve,-133.6687192909,59.499783351,Five Mile Point 3,Indian Reserve-Réserve indienne,59570209,83,contains,0.0,5957803,Five Mile Point 3,Indian reserve,83,contains,0.0,yes,,,,,,,83,csd,"2021 Census, census subdivision",high,csd,5957803,0,,,FALSE,TRUE,indigenous,"the geoname names its containing census subdivision, so this is the population of Five Mile Point 3 itself"
65680,McDonald Lake 1,Indian Reserve,-133.5520629131,59.7331234769,McDonald Lake 1,Indian Reserve-Réserve indienne,59570210,180,contains,0.0,5957022,Stikine Region,Regional district electoral area,424,contains,0.0,no,,,,,,,180,da,"2021 Census, dissemination area",high,da,59570210,3,,,FALSE,TRUE,indigenous,"no census subdivision carries this name, so this is the population of the surrounding dissemination area, NOT of the named place"
65793,Unnamed 10,Indian Reserve,-133.7020578142,59.5664509008,Unnamed 10,Indian Reserve-Réserve indienne,59570219,219,contains,0.0,5957802,Unnamed 10,Indian reserve,18,nearest-name,92.4,yes,,,,,,,18,csd,"2021 Census, census subdivision",medium,csd,5957802,0,,,FALSE,TRUE,indigenous,"the point lies 92 m outside the same-named census subdivision, inside Stikine Region; the same-named one was taken; the geoname names its containing census subdivision, so this is the population of Unnamed 10 itself"
64825,Dease Lake 9,Indian Reserve,-130.035201727,58.4664839126,Dease Lake 9,Indian Reserve-Réserve indienne,59490201,326,contains,0.0,5949845,Dease Lake 9,Indian reserve,54,nearest-name,372.3,yes,,,,,,,54,csd,"2021 Census, census subdivision",medium,csd,5949845,0,,,FALSE,TRUE,indigenous,"the point lies 372 m outside the same-named census subdivision, inside Kitimat-Stikine F; the same-named one was taken; the geoname names its containing census subdivision, so this is the population of Dease Lake 9 itself"
60004,Dease River 1,Indian Reserve,-129.289444444,59.2874999978,Dease River 1,Indian Reserve-Réserve indienne,59570227,39,contains,0.0,5957820,Dease River 1,Indian reserve,39,contains,0.0,yes,,,,,,,39,csd,"2021 Census, census subdivision",high,csd,5957820,0,,,FALSE,TRUE,indigenous,"the geoname names its containing census subdivision, so this is the population of Dease River 1 itself"
60002,Guhthe Tah 12,Indian Reserve,-131.1763888888,57.9038888864,Guhthe Tah 12,Indian Reserve-Réserve indienne,59490097,142,contains,0.0,5949843,Guhthe Tah 12,Indian reserve,142,contains,0.0,yes,,,,,,,142,csd,"2021 Census, census subdivision",high,csd,5949843,0,,,FALSE,TRUE,indigenous,"the geoname names its containing census subdivision, so this is the population of Guhthe Tah 12 itself"
64101,Iskut 6,Indian Reserve,-130.0000000008,57.8352777753,Iskut 6,Indian Reserve-Réserve indienne,59490219,74,contains,0.0,5949832,Iskut 6,Indian reserve,478,nearest-name,600.3,yes,,,,,,,478,csd,"2021 Census, census subdivision",medium,csd,5949832,0,,,FALSE,TRUE,indigenous,"the point lies 600 m outside the same-named census subdivision, inside Kitimat-Stikine D; the same-named one was taken; the geoname names its containing census subdivision, so this is the population of Iskut 6 itself"
37405,Stewart,District Municipality,-129.9911111106,55.9383333305,Stewart,District Municipality (1),59490105,517,contains,0.0,5949032,Stewart,District municipality,517,contains,0.0,yes,Stewart,District municipality,539,2021,515,2025,539,municipal,"BC Stats population estimate, July 1 2021",high,csd,5949032,0,,,FALSE,TRUE,municipality,"this is the population of the municipality of Stewart itself, as estimated by BC Stats for 2021 (the 2021 census counted 517)"
64770,Tahltan 1,Indian Reserve,-130.9852108804,58.0164613105,Tahltan 1,Indian Reserve-Réserve indienne,59490201,326,contains,0.0,5949846,Tahltan 1,Indian reserve,0,nearest-name,118.6,yes,,,,,,,0,csd,"2021 Census, census subdivision",medium,csd,5949846,0,,,FALSE,TRUE,indigenous,"the point lies 119 m outside the same-named census subdivision, inside Kitimat-Stikine F; the same-named one was taken; the geoname names its containing census subdivision, so this is the population of Tahltan 1 itself"
35678,Telegraph Creek,Community,-131.1595825006,57.9031706682,Telegraph Creek,Community,59490219,74,contains,0.0,5949847,Telegraph Creek,Indian reserve,51,nearest-name,253.7,yes,,,,,,,51,csd,"2021 Census, census subdivision",medium,csd,5949847,0,,,FALSE,TRUE,indigenous,"the point lies 254 m outside the same-named census subdivision, inside Kitimat-Stikine D; the same-named one was taken; the geoname names its containing census subdivision, so this is the population of Telegraph Creek itself"
