csd_uid,csd_name,csd_type,population_2021
5923033,Alberni-Clayoquot B,Regional district electoral area,531
5951829,Babine 25,Indian reserve,83
5941861,Betty Creek 18,Indian reserve,0
5945012,Central Coast D,Regional district electoral area,403
5933810,Chuchhraischin,Indian reserve,0
5923804,Clakamucus 2,Indian reserve,0
5919017,Cowichan Valley H,Regional district electoral area,2603
5957804,Good Hope Lake,Indian settlement,0
5933803,Hamilton Creek 2,Indian reserve,0
5923810,Macoah 1,Indian reserve,27
5955850,Mesilinka 7,Indian reserve,0
5924843,Nenagwas 12,Indian reserve,0
5923809,Numukamis 1,Indian reserve,0
5923814,Sachsa 4,Indian reserve,0
5909884,Skowkale,Indian reserve,983
5933045,Sun Peaks Mountain,Village,1404
