dguid,dpl_name,dpl_type,population_2021
2021A0006590142,103 Mile,UNP,538
2021A0006590277,Aiyansh (Kitladamas) 1,NVL,0
2021A0006590146,Anderson Subdivision,UNP,248
2021A0006590064,Arbutus Ridge,UNP,1085
2021A0006590048,Baker Trails,UNP,565
2021A0006590089,Bamfield,UNP,201
2021A0006590247,Barlow Creek part B,UNP,5
2021A0006590024,Barney's Bar,UNP,508
2021A0006590049,Bell Acres,UNP,604
2021A0006590148,Big Lake,UNP,351
2021A0006590352,Big White,UNP,991
2021A0006590393,Black Creek - Oyster River,UNP,2080
2021A0006590026,Black Point,UNP,559
2021A0006590343,Black Tusk Village,UNP,235
2021A0006590375,Brent Road - Trepanier,UNP,297
2021A0006590027,Brew Bay,UNP,109
2021A0006590101,Buckley Bay,UNP,228
2021A0006590179,Cassidy,UNP,1039
2021A0006590180,Cedar,UNP,3078
2021A0006590199,Cedar Hill/Glenemma,UNP,621
2021A0006590242,Charlie Lake part B,UNP,35
2021A0006590087,Cherry Creek part A,UNP,1013
2021A0006590062,Cherry Point,UNP,506
2021A0006590150,Chilcotin Road Area,UNP,327
2021A0006590063,Cobble Hill,UNP,972
2021A0006590181,Coombs,UNP,1672
2021A0006590321,Cowichan 1,IRI,2405
2021A0006590320,Cowichan 9,IRI,15
2021A0006590061,Cowichan Bay,UNP,410
2021A0006590182,Dashwood,UNP,1055
2021A0006590183,Deep Bay/Bowser,UNP,1864
2021A0006590381,Deep Cove,RPC,1177
2021A0006590002,Denman Island Trust Area,IST,1391
2021A0006590070,Diamond,UNP,246
2021A0006590151,Dog Creek Road Area,UNP,819
2021A0006590184,Dunsmuir,UNP,1497
2021A0006590363,East Sahtlam,UNP,1080
2021A0006590185,East Wellington,UNP,1704
2021A0006590186,Englishman River North,UNP,964
2021A0006590187,Englishman River South,UNP,746
2021A0006590188,Errington,UNP,2907
2021A0006590168,Evelyn,UNP,65
2021A0006590189,Extension,UNP,323
2021A0006590092,Fairmont Hot Springs,UNP,781
2021A0006590104,Fanny Bay,UNP,921
2021A0006590387,Fernie Alpine Resort,UNP,165
2021A0006590079,Fort St. John Airport,UNP,509
2021A0006590154,Fox Mountain,UNP,637
2021A0006590190,French Creek,UNP,1107
2021A0006590003,Gabriola Island Trust Area,IST,4500
2021A0006590004,Galiano Island Trust Area,IST,1396
2021A0006590005,Gambier Island Trust Area,IST,430
2021A0006590319,Garden 2,IRI,
2021A0006590030,Garden Bay,UNP,395
2021A0006590020,Gillies Bay,UNP,428
2021A0006590342,Gun Lake,UNP,98
2021A0006590263,Hagensborg part A,UNP,191
2021A0006590031,Halfmoon Bay,UNP,505
2021A0006590042,Hatzic Island,UNP,561
2021A0006590366,Hatzic Prairie,UNP,409
2021A0006590054,Hemlock Valley,UNP,82
2021A0006590106,Heriot Bay,UNP,594
2021A0006590191,Hilliers,UNP,1590
2021A0006590340,Holberg,UNP,15
2021A0006590071,Honeymoon Bay/Mesachie Lake,UNP,632
2021A0006590006,Hornby Island Trust Area,IST,1225
2021A0006590157,Imperial Ranchettes,UNP,412
2021A0006590174,Lakeview,UNP,1847
2021A0006590028,Lang Bay,UNP,285
2021A0006590192,Lantzville,UNP,772
2021A0006590007,Lasqueti Island Trust Area,IST,498
2021A0006590021,Lund,UNP,292
2021A0006590118,Manson's Landing,UNP,158
2021A0006590008,Mayne Island Trust Area,IST,1304
2021A0006590244,Merville part A,UNP,1386
2021A0006590245,Merville part B,UNP,852
2021A0006590246,Merville part C,UNP,103
2021A0006590081,Mile 62.5/63,UNP,210
2021A0006590065,Mill Bay,UNP,3027
2021A0006590334,Mount Baldy,UNP,67
2021A0006590309,Mount Currie 1,IRI,114
2021A0006590305,Mount Currie 10,IRI,140
2021A0006590308,Mount Currie 2,IRI,5
2021A0006590307,Mount Currie 6,IRI,958
2021A0006590306,Mount Currie 8,IRI,25
2021A0006590100,Mud Bay,UNP,230
2021A0006590023,Myrtle Point,UNP,537
2021A0006590304,Nanaimo River 2,IRI,37
2021A0006590303,Nanaimo River 3,IRI,67
2021A0006590302,Nanaimo River 4,IRI,219
2021A0006590193,Nanoose Bay,UNP,6540
2021A0006590301,Nequatque 1,IRI,140
2021A0006590300,Nequatque 2,IRI,10
2021A0006590299,Nequatque 3A,IRI,5
2021A0006590163,North Lakeside,UNP,270
2021A0006590069,North Oyster/Yellow Point,UNP,1399
2021A0006590009,North Pender Island Trust Area,IST,2467
2021A0006590390,Panorama Mountain Resort,UNP,122
2021A0006590025,Pinetree,UNP,271
2021A0006590341,Port Renfrew,UNP,262
2021A0006590344,Porteau Cove,UNP,0
2021A0006590194,Qualicum Bay,UNP,454
2021A0006590107,Quathiaski Cove,UNP,516
2021A0006590338,Quatsino,UNP,58
2021A0006590105,Read Island,UNP,76
2021A0006590033,Roberts Creek,UNP,1949
2021A0006590133,Robson/Raspberry,UNP,451
2021A0006590103,Royston,UNP,2791
2021A0006590068,Saltair,UNP,2114
2021A0006590010,Saltspring Island Trust Area,IST,11798
2021A0006590113,Saratoga-Miracle Beach,UNP,1511
2021A0006590011,Saturna Island Trust Area,IST,465
2021A0006590369,Savona,UNP,519
2021A0006590351,Seton Portage/Shalath,UNP,30
2021A0006590066,Shawnigan Lake,UNP,3908
2021A0006590224,Silver Star,UNP,336
2021A0006590292,Siska Flat 3,IRI,55
2021A0006590165,South Lakeside,UNP,393
2021A0006590034,South Pender Harbour,UNP,1264
2021A0006590013,South Pender Island Trust Area,IST,306
2021A0006590195,South Wellington part A,UNP,1203
2021A0006590243,South Wellington part B,IST,0
2021A0006590374,Spences Bridge,UNP,76
2021A0006590288,Spences Bridge 4,IRI,
2021A0006590287,Spences Bridge 4C,IRI,
2021A0006590088,Sproat Lake,UNP,1697
2021A0006590029,Stillwater,UNP,130
2021A0006590280,T'Sou-ke 1 (Sooke 1),IRI,115
2021A0006590279,T'Sou-ke 2 (Sooke 2),IRI,115
2021A0006590012,Thetis Island Trust Area,IST,476
2021A0006590376,Tobiano,UNP,410
2021A0006590386,UBC Vancouver,UNP,15103
2021A0006590102,Union Bay,UNP,1140
2021A0006590385,University Endowment Lands (UEL),UNP,3193
2021A0006590022,Van Anda,UNP,362
2021A0006590075,Wabi Hill,UNP,288
2021A0006590382,Walnut Grove,RPC,28420
2021A0006590362,West Sahtlam,UNP,438
2021A0006590166,Wildwood,UNP,435
2021A0006590339,Winter Harbour,UNP,15
2021A0006590258,Wynndel part B,UNP,42
2021A0006590072,Youbou,UNP,1302
